size,count,type,time_avg,algbw,busbw,cores,algorithm
4194304,2097152,bfloat16,166.49,25.19,48.81,32,allr
8388608,4194304,bfloat16,221.78,37.82,73.28,32,allr
16777216,8388608,bfloat16,264.05,63.54,123.11,32,allr
33554432,16777216,bfloat16,400.18,83.85,162.46,32,allr
67108864,33554432,bfloat16,769.95,87.16,168.87,32,allr
8192,4096,bfloat16,14.29,0.57,0.56,32,allg
16384,8192,bfloat16,14.39,1.14,1.10,32,allg
32768,16384,bfloat16,14.47,2.26,2.19,32,allg
65536,32768,bfloat16,14.62,4.48,4.34,32,allg
131072,65536,bfloat16,14.89,8.80,8.53,32,allg
262144,131072,bfloat16,16.14,16.24,15.74,32,allg
524288,262144,bfloat16,20.78,25.23,24.45,32,allg
1048576,524288,bfloat16,31.05,33.77,32.71,32,allg
2097152,1048576,bfloat16,51.71,40.55,39.29,32,allg
4194304,2097152,bfloat16,91.51,45.83,44.40,32,allg
8388608,4194304,bfloat16,129.11,64.97,62.94,32,allg
16777216,8388608,bfloat16,155.57,107.84,104.47,32,allg
33554432,16777216,bfloat16,245.93,136.44,132.18,32,allg
67108864,33554432,bfloat16,413.44,162.32,157.25,32,allg
8192,4096,bfloat16,13.6,0.60,0.58,32,redsct
16384,8192,bfloat16,13.68,1.20,1.16,32,redsct
32768,16384,bfloat16,13.99,2.34,2.27,32,redsct
65536,32768,bfloat16,14.41,4.55,4.41,32,redsct
131072,65536,bfloat16,15.29,8.57,8.31,32,redsct
262144,131072,bfloat16,17.83,14.70,14.24,32,redsct
524288,262144,bfloat16,21.7,24.16,23.40,32,redsct
1048576,524288,bfloat16,29.89,35.08,33.98,32,redsct
2097152,1048576,bfloat16,50.09,41.87,40.56,32,redsct
4194304,2097152,bfloat16,85.55,49.03,47.49,32,redsct
8388608,4194304,bfloat16,129.06,65.00,62.96,32,redsct
16777216,8388608,bfloat16,149.94,111.89,108.39,32,redsct
33554432,16777216,bfloat16,207.16,161.97,156.91,32,redsct
67108864,33554432,bfloat16,426.93,157.19,152.28,32,redsct
8192,4096,bfloat16,17.51,0.47,0.92,64,allr
16384,8192,bfloat16,23.14,0.71,1.39,64,allr
32768,16384,bfloat16,23.22,1.41,2.78,64,allr
65536,32768,bfloat16,23.65,2.77,5.46,64,allr
131072,65536,bfloat16,24.79,5.29,10.41,64,allr
262144,131072,bfloat16,27.35,9.58,18.87,64,allr
524288,262144,bfloat16,35.39,14.81,29.16,64,allr
1048576,524288,bfloat16,51.92,20.20,39.76,64,allr
2097152,1048576,bfloat16,80.97,25.90,50.99,64,allr
4194304,2097152,bfloat16,107.1,39.16,77.10,64,allr
8388608,4194304,bfloat16,158.11,53.06,104.45,64,allr
16777216,8388608,bfloat16,263.77,63.60,125.22,64,allr
33554432,16777216,bfloat16,471.12,71.22,140.22,64,allr
67108864,33554432,bfloat16,726.07,92.43,181.97,64,allr
8192,4096,bfloat16,19.21,0.43,0.42,64,allg
16384,8192,bfloat16,19.13,0.86,0.84,64,allg
32768,16384,bfloat16,19.18,1.71,1.68,64,allg
65536,32768,bfloat16,19.2,3.41,3.36,64,allg
131072,65536,bfloat16,19.37,6.77,6.66,64,allg
262144,131072,bfloat16,19.99,13.11,12.91,64,allg
524288,262144,bfloat16,21.48,24.41,24.02,64,allg
1048576,524288,bfloat16,31.31,33.49,32.96,64,allg
2097152,1048576,bfloat16,32.21,65.10,64.08,64,allg
4194304,2097152,bfloat16,45.32,92.54,91.10,64,allg
8388608,4194304,bfloat16,68.36,122.71,120.79,64,allg
16777216,8388608,bfloat16,117.5,142.78,140.55,64,allg
33554432,16777216,bfloat16,219.66,152.76,150.37,64,allg
67108864,33554432,bfloat16,387.29,173.28,170.57,64,allg
8192,4096,bfloat16,15.13,0.54,0.53,64,redsct
16384,8192,bfloat16,15.34,1.07,1.05,64,redsct
32768,16384,bfloat16,15.44,2.12,2.09,64,redsct
65536,32768,bfloat16,15.97,4.10,4.04,64,redsct
131072,65536,bfloat16,16.67,7.86,7.74,64,redsct
262144,131072,bfloat16,18.57,14.12,13.90,64,redsct
524288,262144,bfloat16,22.05,23.78,23.41,64,redsct
1048576,524288,bfloat16,28.71,36.53,35.96,64,redsct
2097152,1048576,bfloat16,43.67,48.02,47.27,64,redsct
4194304,2097152,bfloat16,64.1,65.44,64.42,64,redsct
8388608,4194304,bfloat16,91.81,91.37,89.94,64,redsct
16777216,8388608,bfloat16,146.51,114.51,112.72,64,redsct
33554432,16777216,bfloat16,255.38,131.39,129.34,64,redsct
67108864,33554432,bfloat16,402.58,166.70,164.09,64,redsct
134217728,67108864,bfloat16,1707.09,78.62,117.94,4,allr
268435456,134217728,bfloat16,3390.31,79.18,118.77,4,allr
536870912,268435456,bfloat16,6750.86,79.53,119.29,4,allr
1073741824,536870912,bfloat16,13470.84,79.71,119.56,4,allr
134217728,67108864,bfloat16,722.99,185.64,139.23,4,allg
268435456,134217728,bfloat16,1429.91,187.73,140.80,4,allg
536870912,268435456,bfloat16,2842.4,188.88,141.66,4,allg
1073741824,536870912,bfloat16,5672.15,189.30,141.98,4,allg
134217728,67108864,bfloat16,1196.34,112.19,84.14,4,redsct
268435456,134217728,bfloat16,2379.64,112.81,84.60,4,redsct
536870912,268435456,bfloat16,4744.27,113.16,84.87,4,redsct
1073741824,536870912,bfloat16,9471.79,113.36,85.02,4,redsct
134217728,67108864,bfloat16,1179.53,113.79,99.57,8,allg
268435456,134217728,bfloat16,2437.03,110.15,96.38,8,allg
536870912,268435456,bfloat16,4799.43,111.86,97.88,8,allg
1073741824,536870912,bfloat16,9518.24,112.81,98.71,8,allg
134217728,67108864,bfloat16,1268.96,105.77,198.32,16,allr
268435456,134217728,bfloat16,2510.93,106.91,200.45,16,allr
536870912,268435456,bfloat16,5021.35,106.92,200.47,16,allr
1073741824,536870912,bfloat16,10187.98,105.39,197.61,16,allr
134217728,67108864,bfloat16,741.81,180.93,169.63,16,allg
268435456,134217728,bfloat16,1455.66,184.41,172.88,16,allg
536870912,268435456,bfloat16,2879.32,186.46,174.80,16,allg
1073741824,536870912,bfloat16,5718.9,187.75,176.02,16,allg
134217728,67108864,bfloat16,680.47,197.24,184.92,16,redsct
268435456,134217728,bfloat16,1336.38,200.87,188.31,16,redsct
536870912,268435456,bfloat16,2654.89,202.22,189.58,16,redsct
1073741824,536870912,bfloat16,5298.88,202.64,189.97,16,redsct
134217728,67108864,bfloat16,1342.26,99.99,193.74,32,allr
268435456,134217728,bfloat16,2584.07,103.88,201.27,32,allr
536870912,268435456,bfloat16,5153.56,104.17,201.84,32,allr
1073741824,536870912,bfloat16,10315.72,104.09,201.67,32,allr
134217728,67108864,bfloat16,741.81,180.93,175.28,32,allg
268435456,134217728,bfloat16,1397.28,192.11,186.11,32,allg
536870912,268435456,bfloat16,2766.98,194.03,187.96,32,allg
1073741824,536870912,bfloat16,5498.4,195.28,189.18,32,allg
134217728,67108864,bfloat16,699.11,191.98,185.98,32,redsct
268435456,134217728,bfloat16,1337.13,200.75,194.48,32,redsct
536870912,268435456,bfloat16,2650.44,202.56,196.23,32,redsct
1073741824,536870912,bfloat16,5286.24,203.12,196.77,32,redsct
134217728,67108864,bfloat16,957.61,140.16,275.94,64,allr
268435456,134217728,bfloat16,1748.83,153.49,302.19,64,allr
536870912,268435456,bfloat16,3304.38,162.47,319.87,64,allr
1073741824,536870912,bfloat16,6435.38,166.85,328.49,64,allr
134217728,67108864,bfloat16,494.65,271.34,267.10,64,allg
268435456,134217728,bfloat16,807.99,332.23,327.03,64,allg
536870912,268435456,bfloat16,1456.09,368.71,362.95,64,allg
1073741824,536870912,bfloat16,2756.51,389.53,383.44,64,allg
134217728,67108864,bfloat16,541.28,247.96,244.09,64,redsct
268435456,134217728,bfloat16,1027.8,261.17,257.09,64,redsct
536870912,268435456,bfloat16,1949.64,275.37,271.07,64,redsct
1073741824,536870912,bfloat16,3832.11,280.20,275.82,64,redsct
